"","week","yards","preds"
"700",3,59,0.375427669967674
"701",4,59,0.363215511509653
"702",5,59,0.351177239827262
"703",6,59,0.339325347899858
"704",7,59,0.327671441132148
"705",8,59,0.316226205971597
"706",9,59,0.3049993869421
"707",10,59,0.293999771939852
"708",11,59,0.283235185527547
"709",12,59,0.2727124898651
"710",13,59,0.262437592830529
"711",14,59,0.252415462814151
"712",15,59,0.242650149613323
"713",16,59,0.233144810813562
"714",17,59,0.223901743014555
"715",1,60,0.37358453407173
"716",2,60,0.361397638611979
"717",3,60,0.349386559760739
"718",4,60,0.337563659641525
"719",5,60,0.325940407554452
"720",6,60,0.314527349861794
"721",7,60,0.303334088274117
"722",8,60,0.292369266365753
"723",9,60,0.281640564040226
"724",10,60,0.271154699570291
"725",11,60,0.260917438754708
"726",12,60,0.250933610665583
"727",13,60,0.241207129406396
"728",14,60,0.231741021261542
"729",15,60,0.222537456592982
"730",16,60,0.213597785827574
"731",17,60,0.204922578878812
"732",1,61,0.347600118769929
"733",2,61,0.335806468781494
"734",3,61,0.324214108899362
"735",4,61,0.312833444911973
"736",5,61,0.301673935413438
"737",6,61,0.290744079532285
"738",7,61,0.280051412559652
"739",8,61,0.269602509088297
"740",9,61,0.259402993193385
"741",10,61,0.249457555119907
"742",11,61,0.239769973890006
"743",12,61,0.230343145206415
"744",13,61,0.221179114004941
"745",14,61,0.212279110998869
"746",15,61,0.203643592559983
"747",16,61,0.195272283293589
"748",17,61,0.187164220686877
"749",1,62,0.322492578982533
"750",2,62,0.311144521712846
"751",3,62,0.300018955695985
"752",4,62,0.28912423551695
"753",5,62,0.27846775192604
"754",6,62,0.268055936066252
"755",7,62,0.25789427066601
"756",8,62,0.247987307653406
"757",9,62,0.238338691598776
"758",10,62,0.228951188357417
"759",11,62,0.219826718263103
"760",12,62,0.210966393214767
"761",13,62,0.202370557002339
"762",14,62,0.194038828231817
"763",15,62,0.185970145232962
"764",16,62,0.178162812363907
"765",17,62,0.170614547164133
